dt,month,y,type,month_shifted,mph
01.11.2021,11,2021,2021_econom,2_нояб,"626,2"
01.12.2021,12,2021,2021_econom,3_дек,"760,5"
01.01.2022,1,2022,2022_econom,4_янв,"664,9"
01.02.2022,2,2022,2022_econom,5_февр,"630,2"
01.03.2022,3,2022,2022_econom,6_мар,"567,7"
01.04.2022,4,2022,2022_econom,7_апр,"579,5"
01.05.2022,5,2022,2022_econom,8_мая,"609,7"
01.06.2022,6,2022,2022_econom,9_июн,"662,3"
01.07.2022,7,2022,2022_econom,10_июл,"689,2"
01.08.2022,8,2022,2022_econom,11_авг,"712,4"
01.09.2022,9,2022,2022_econom,12_сент,"755,9"
01.10.2022,10,2022,2022_econom,1_окт,"719,7"
01.11.2022,11,2022,2022_econom,2_нояб,"731,8"
01.12.2022,12,2022,2022_econom,3_дек,"834,2"
01.01.2023,1,2023,2023_econom,4_янв,"769,5"
01.02.2023,2,2023,2023_econom,5_февр,"740,3"
01.03.2023,3,2023,2023_econom,6_мар,"756,6"
01.04.2023,4,2023,2023_econom,7_апр,"746,2"
01.05.2023,5,2023,2023_econom,8_мая,"780,5"
01.06.2023,6,2023,2023_econom,9_июн,"837,4"
01.07.2023,7,2023,2023_econom,10_июл,"862,7"
01.08.2023,8,2023,2023_econom,11_авг,"901,2"
01.09.2023,9,2023,2023_econom,12_сент,"921,5"
01.10.2023,10,2023,2023_econom,1_окт,"955,4"
01.11.2023,11,2023,2023_econom,2_нояб,"893,8"
01.12.2023,12,2023,2023_econom,3_дек,1010
01.01.2022,1,2022,2022_cargo,4_янв,"290,8398296"
01.02.2022,2,2022,2022_cargo,5_февр,"295,5068977"
01.03.2022,3,2022,2022_cargo,6_мар,"308,026493"
01.04.2022,4,2022,2022_cargo,7_апр,"277,6"
01.05.2022,5,2022,2022_cargo,8_мая,"292,8"
01.06.2022,6,2022,2022_cargo,9_июн,"333,4"
01.07.2022,7,2022,2022_cargo,10_июл,"348,3"
01.08.2022,8,2022,2022_cargo,11_авг,"397,8"
01.09.2022,9,2022,2022_cargo,12_сент,"435,5"
01.10.2022,10,2022,2022_cargo,1_окт,"440,4"
01.11.2022,11,2022,2022_cargo,2_нояб,"501,1"
01.12.2022,12,2022,2022_cargo,3_дек,"590,3"
01.01.2023,1,2023,2023_cargo,4_янв,"392,6"
01.02.2023,2,2023,2023_cargo,5_февр,"398,9"
01.03.2023,3,2023,2023_cargo,6_мар,"415,8"
01.04.2023,4,2023,2023_cargo,7_апр,"436,3"
01.05.2023,5,2023,2023_cargo,8_мая,"443,2"
01.06.2023,6,2023,2023_cargo,9_июн,"501,6"
01.07.2023,7,2023,2023_cargo,10_июл,"511,9"
01.08.2023,8,2023,2023_cargo,11_авг,"559,5"
01.09.2023,9,2023,2023_cargo,12_сент,"527,3"
01.10.2023,10,2023,2023_cargo,1_окт,"595,1"
01.11.2023,11,2023,2023_cargo,2_нояб,"597,9"
01.12.2023,12,2023,2023_cargo,3_дек,710