service_type,price,coeff
"0,7t",9833,1
1t,11211,"1,140140344"
"1,5t",12640,"1,285467304"
3t,15745,"1,60124072"
5t,17880,"1,818366724"
10t,21047,"2,140445439"
"0,7t_loader",12589,"1,280280687"
1t_loader,14283,"1,452557714"
"1,5t_loader",15998,"1,626970406"
3t_loader,19907,"2,024509305"
5t_loader,22638,"2,302247534"
10t_loader,27105,"2,75653412"
"0,7t_ref",11304,"1,149598291"
1t_ref,12440,"1,265127631"
"1,5t_ref",14540,"1,478694193"
3t_ref,18028,"1,833418082"
5t_ref,20380,"2,072612631"
10t_ref,24297,"2,470965117"